jugador,nacionalidad,posicion,equipo,competicion,edad,año_nacimiento,pj,titular,minutos,partidos_completos_90,goles_en_contra_adv,goles_contra_por90,tiros_a_puerta_en_contra,paradas,porc_paradas,victorias,empates,derrotas,porterias_cero,porc_porterias_cero,penales_recibidos,penales_concedidos_adv,penales_parados,penales_fallados,porc_penales_parados,goles_falta_directa_en_contra,goles_corners_en_contra,autogoles_en_contra,psxg_en_contra,psnpxg_por_tiro_en_contra,psxg_neto,psxg_neto_por90,pases_largos_completados,pases_largos,porc_pases_largos_completados,pases_totales,saques_con_la_mano,porc_pases_lanzados,long_media_pase,saques_de_porteria,porc_saques_largos,long_media_saque,centros_defendidos,centros_atrapados,porc_centros_atrapados,acciones_fuera_del_area,acciones_fuera_del_area_por90,dist_media_acciones_fuera_area,season,stint_id
Obed Nkambadio,FRA,GK,Paris FC,Ligue 1,0.0,2003,2,2,180,2.0,6,3.0,9,3,33.33333333333333,0,0,2,0,0.0,2,1,0,1,0.0,0,1,0,2.9,0.23,-3.1,-1.57,0,6,0.0,55,9,10.9,25.8,11,0.0,18.8,16,0,0.0,3,1.5,14.3,2025-2026,a6ce648ec6ab85e2ca319ba9fc01abc0
Mike Penders,BEL,GK,Strasbourg,Ligue 1,0.0,2005,2,2,180,2.0,3,1.5,4,1,25.0,1,0,1,1,50.0,0,0,0,0,0.0,0,0,0,2.4,0.59,-0.6,-0.32,4,7,57.1,64,4,10.9,24.0,1,0.0,16.0,19,2,10.5,2,1.0,11.8,2025-2026,f37e3fdcb2ed4507d8900310a163184b
Nicola Leali,ITA,GK,Genoa,Serie A,0.0,1993,2,2,180,2.0,1,0.5,3,2,66.66666666666666,0,1,1,1,50.0,0,0,0,0,0.0,0,1,0,1.3,0.45,0.3,0.16,5,30,16.7,51,5,43.1,35.4,8,100.0,66.0,30,1,3.3,3,1.5,15.7,2025-2026,e4c0b437787b3b93996919cd16030a88
Frederik Rønnow,DEN,GK,Union Berlin,Bundesliga,0.0,1992,2,2,180,2.0,4,2.0,12,8,66.66666666666666,1,0,1,0,0.0,0,0,0,0,0.0,0,1,0,4.8,0.4,0.8,0.38,18,46,39.1,60,7,55.0,41.1,14,92.9,60.5,43,6,14.0,0,0.0,8.1,2025-2026,089fc0344a6de109f79779763d8e7673
Zion Suzuki,JPN,GK,Parma,Serie A,0.0,2002,2,2,180,2.0,3,1.5,11,8,72.72727272727273,0,1,1,0,0.0,0,0,0,0,0.0,0,1,0,2.7,0.25,-0.3,-0.13,14,51,27.5,70,8,51.4,43.7,19,78.9,56.8,23,1,4.3,3,1.5,16.9,2025-2026,b48c4ae2d7c41636a888c20b44cc30d8
Yann Sommer,SUI,GK,Inter,Serie A,0.0,1988,2,2,180,2.0,2,1.0,9,7,77.77777777777779,1,0,1,1,50.0,1,1,0,0,0.0,0,0,0,2.8,0.28,0.8,0.41,4,8,50.0,62,11,12.9,24.2,13,0.0,18.4,21,1,4.8,3,1.5,19.3,2025-2026,9f5e2760771ecf94c68a5cd50804279d
Łukasz Skorupski,POL,GK,Bologna,Serie A,0.0,1991,2,2,180,2.0,1,0.5,6,5,83.33333333333334,1,0,1,1,50.0,0,0,0,0,0.0,0,0,0,1.2,0.2,0.2,0.11,16,36,44.4,105,15,30.5,33.6,10,40.0,37.8,15,0,0.0,0,0.0,11.3,2025-2026,1c6806333e46117e3e64810048699206
Krapyvtsov Vladyslav,UKR,GK,Girona,La Liga,0.0,2005,2,1,136,1.5,6,3.97,9,3,33.33333333333333,0,0,1,0,0.0,1,1,0,0,0.0,0,1,0,3.4,0.29,-2.6,-1.72,6,20,30.0,36,8,33.3,30.4,11,72.7,54.5,22,0,0.0,0,0.0,14.0,2025-2026,d7549751c9550c985a47f1a4bec0b8b4
Donovan Léon,GUF,GK,Auxerre,Ligue 1,0.0,1992,2,2,135,1.5,2,1.33,4,3,75.0,1,0,1,1,50.0,0,0,0,0,0.0,0,0,1,1.5,0.37,0.5,0.34,10,34,29.4,53,5,56.6,39.9,5,80.0,64.6,15,1,6.7,1,0.67,16.5,2025-2026,4ef65f3715985bf69a71b57b9656a139
Théo De Percin,MTQ,GK,Auxerre,Ligue 1,0.0,2001,2,1,131,1.5,2,1.37,8,6,75.0,0,0,1,0,0.0,0,0,0,0,0.0,0,0,0,1.6,0.22,-0.4,-0.24,6,29,20.7,53,5,45.3,39.5,6,83.3,57.2,20,3,15.0,5,3.31,16.6,2025-2026,2d2a6dd0b8d0a5cd65a7459fc95378e3
Paulo Gazzaniga,ARG,GK,Girona,La Liga,0.0,1992,2,2,132,1.5,4,2.73,6,2,33.33333333333333,0,0,2,0,0.0,0,0,0,0,0.0,0,0,0,3.0,0.5,-1.0,-0.7,5,14,35.7,46,6,26.1,29.0,5,40.0,31.2,5,0,0.0,1,0.68,15.4,2025-2026,b6150277cc66ad724b7740d5d17b9c3f
Kevin Trapp,GER,GK,Paris FC,Ligue 1,0.0,1990,1,1,90,1.0,2,2.0,2,0,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,1,0,1.5,0.75,-0.5,-0.5,1,8,12.5,28,4,28.6,32.3,7,0.0,22.9,13,1,7.7,3,3.0,22.0,2025-2026,e6f221bdaa5be6e609194779140a4d96
Karl-Johan Johnsson,SWE,GK,Strasbourg,Ligue 1,0.0,1990,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,0.0,0,0,0,0.3,0.14,0.3,0.28,3,10,30.0,32,2,28.1,29.6,2,50.0,45.5,13,1,7.7,3,3.0,18.9,2025-2026,a354f4a47f34d8527bc5d25b33f8169e
Emiliano Martínez,ARG,GK,Aston Villa,Premier League,0.0,1992,1,1,90,1.0,1,1.0,2,1,50.0,0,0,1,0,0.0,0,0,0,0,0.0,0,0,0,1.0,0.68,0.0,-0.01,4,5,80.0,35,5,14.3,23.3,3,0.0,24.3,7,1,14.3,0,0.0,13.8,2025-2026,9fe19e2e9d65fd816840dd4784174f3f
Arijanet Muric,KVX,GK,Sassuolo,Serie A,0.0,1998,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,1,1,0,0,0.0,0,1,0,3.2,0.41,0.2,0.2,3,10,30.0,28,4,32.1,30.8,3,33.3,39.0,12,0,0.0,0,0.0,10.0,2025-2026,1f653df5a28588459b0f4cd648002952
Stefano Turati,ITA,GK,Sassuolo,Serie A,0.0,2001,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,0.0,1,0,0,1.2,0.31,-0.8,-0.76,0,16,0.0,23,4,56.5,40.7,3,100.0,67.3,9,1,11.1,1,1.0,10.0,2025-2026,5d89dc23994d15dbbb3c295efa6bf950
Mathew Ryan,AUS,GK,Levante,La Liga,0.0,1992,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,0.0,0,0,0,1.6,0.33,-0.4,-0.37,3,8,37.5,18,7,33.3,38.8,10,20.0,28.5,17,1,5.9,0,0.0,4.5,2025-2026,a6eacc4e27d4ea138844e4a8d0172587
Grégoire Coudert,FRA,GK,Brest,Ligue 1,0.0,1999,1,0,32,0.4,3,8.44,7,4,57.14285714285714,0,0,0,0,0.0,1,1,0,0,0.0,0,1,0,3.3,0.42,0.3,0.93,4,12,33.3,11,3,72.7,51.4,4,100.0,69.0,17,1,5.9,0,0.0,3.0,2025-2026,64afc2303876f15ef86b12924db99824
Philipp Köhn,SUI,GK,Monaco,Ligue 1,0.0,1998,1,0,12,0.1,0,0.0,1,1,100.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.4,0.39,0.4,2.9,1,3,33.3,5,1,40.0,40.6,2,50.0,38.5,2,0,0.0,0,0.0,0.0,2025-2026,75498e14ce12fffc928f9eb65b3a9b29
